date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,level_obs_m_asl,level_sim_m_asl
2010-02-08,-0.6937159591264801,2706546977667.3257,57884490000.0,11.01838858220656,11.24,59874696.76282417,193461167.01421523,72150393.6,4821428.571428572,176364041.60561085,2239.133877479343,1134.09,1133.8683885822065
2010-02-09,-0.6980397770800166,2706276142096.044,57884490000.0,11.014064764253025,11.21,-258378714.26323,66045886.75286,73681315.2,4821428.571428572,-270835571.2817986,764.4199855655093,1134.06,1133.864064764253
2010-02-10,-0.7064188457679372,2705751293483.246,57884490000.0,11.005685695565104,11.19,-444210039.9066774,712346.8804824074,76529491.2,4821428.571428572,-524848612.7976236,8.244755561138975,1134.04,1133.855685695565
2010-02-11,-0.7150167811964256,2705212735482.275,57884490000.0,10.997087760136615,11.19,-460760540.4,0.0,72976032.0,4821428.571428572,-538558000.9714285,0.0,1134.04,1133.8470877601364
2010-02-12,-0.7234657343828559,2704683509440.0195,57884490000.0,10.988638806950185,11.2,-451939362.5130937,1001792.0292691774,73467043.2,4821428.571428572,-529226042.25525314,11.594815153578441,1134.05,1133.83863880695
2010-02-13,-0.7308654248282968,2704220007180.989,57884490000.0,10.981239116504744,11.2,-388490220.0592856,2170944.7998685944,72361555.2,4821428.571428572,-463502259.0308456,25.126675924405028,1134.05,1133.8312391165045
2010-02-14,-0.7354828531845734,2703930780423.488,57884490000.0,10.976621688148468,11.19,-270876986.66473234,65781155.335406564,79309497.6,4821428.571428572,-289226757.50075436,761.3559645301685,1134.04,1133.8266216881484
2010-02-15,-0.7410170644502503,2703584128162.4907,57884490000.0,10.97108747688279,11.2,-296666329.7142889,30191244.48852301,75355747.2,4821428.571428572,-346652260.99719447,349.43570009864595,1134.05,1133.8210874768827
2010-02-16,-0.6753942523525873,2707694613847.732,57884490000.0,11.036710288980453,11.21,2291534683.4489713,1899011364.7639072,75238934.4,4821428.571428572,4110485685.2414494,21979.29820328596,1134.06,1133.8867102889803
2010-02-17,-0.6699552927605906,2708035299728.6147,57884490000.0,11.04214924857245,11.21,186645749.5933477,232833092.66069424,73971532.8,4821428.571428572,340685880.8826133,2694.827461350628,1134.06,1133.8921492485724
