date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s,level_obs_m_asl,level_sim_m_asl
2012-11-18,0.128074574499848,2758022342967.2915,57884490000.0,11.840160862705119,11.53,-85363308.29591593,72495272.23177692,113192021.04706338,4500000.0,-130560057.11120239,839.0656508307513,1310.0928361928632,1134.3799999999999,1134.690160862705
2012-11-19,0.12243567708764815,2757669133369.0967,57884490000.0,11.834521965292918,11.58,-241278560.71282828,4767650.744361501,112198688.22638266,4500000.0,-353209598.19484943,55.18114287455441,1298.5959285460956,1134.4299999999998,1134.6845219652928
2012-11-20,0.12078699010038191,2757565862813.569,57884490000.0,11.832873278305652,11.59,-51302690.94060495,64498533.61361661,111966398.20078519,4500000.0,-103270555.52777353,746.5108057131552,1295.907386583162,1134.4399999999998,1134.6828732783056
2012-11-21,0.12438787499551845,2757791415260.082,57884490000.0,11.836474163200789,11.57,187415472.24584562,155364838.46777546,112727864.20033889,4500000.0,225552446.51328218,1798.2041489325863,1304.7206504668852,1134.4199999999998,1134.6864741632007
2012-11-22,0.12688903595475642,2757948083131.982,57884490000.0,11.838975324160026,11.58,139102214.27227712,135355355.91330886,113289698.28571218,4500000.0,156667871.8998738,1566.6129156632971,1311.2233597883355,1134.4299999999998,1134.6889753241599
2012-11-23,0.12676206476185,2757940129902.698,57884490000.0,11.838848352967121,11.58,-2099669.0539851575,111995649.48998664,113349209.7195657,4500000.0,-7953229.283564225,1296.2459431711418,1311.9121495320105,1134.4299999999998,1134.688848352967
2012-11-24,0.12324967738108786,2757720120768.8594,57884490000.0,11.835335965586358,11.59,-157802823.38013467,55052097.28999896,112758407.74891594,4500000.0,-220009133.83905166,637.1770519675806,1305.074163760601,1134.4399999999998,1134.6853359655863
2012-11-25,0.1215882259206016,2757616050671.484,57884490000.0,11.833674514125873,11.6,-81217328.86332595,94170258.92977518,112523027.4418917,4500000.0,-104070097.37544248,1089.9335524279534,1302.3498546515243,1134.4499999999998,1134.6836745141259
2012-11-26,0.11904792397533862,2757456931084.126,57884490000.0,11.83113421218061,11.6,-96000402.91990985,53502497.75182636,112121682.18974604,4500000.0,-159119587.3578295,619.2418721276199,1297.7046549739125,1134.4499999999998,1134.6811342121805
2012-11-27,0.11450254650535523,2757172217454.4116,57884490000.0,11.826588834710625,11.59,-205615784.0279829,36749583.50862154,111347429.19491798,4500000.0,-284713629.7142793,425.3424017201568,1288.7433934596988,1134.4399999999998,1134.6765888347106
2012-11-28,0.12972107358386806,2758125476476.8027,57884490000.0,11.841807361789138,11.58,730790979.4803771,341303784.37350166,114335741.46253341,4500000.0,953259022.3913453,3950.275282100714,1323.3303410015442,1134.4299999999998,1134.691807361789
2012-11-29,0.131613118222714,2758243990483.674,57884490000.0,11.843699406427984,11.6,98509382.52208798,139302471.64344504,114797847.29448901,4500000.0,118514006.871044,1612.297125502836,1328.6787881306598,1134.4499999999998,1134.6936994064279
2012-11-30,0.13191807239630998,2758263092221.6997,57884490000.0,11.84400436060158,11.62,24554349.555082355,113996700.8851663,114949312.41431044,4500000.0,19101738.025938228,1319.4062602449803,1330.4318566471115,1134.4699999999998,1134.6940043606014
2012-12-01,0.1251166324904307,2757837063216.2593,57884490000.0,11.8372029206957,11.62,-315187428.0206033,7363086.888929605,113704664.30879167,4500000.0,-426029005.44046533,85.22091306631486,1316.0262072776814,1134.4699999999998,1134.6872029206957
2012-12-02,0.11946459396568664,2757483030484.2593,57884490000.0,11.831550882170957,11.62,-284690446.1383463,47859105.91370716,112701391.7755826,4500000.0,-354032732.0002217,553.9248369642032,1304.4142566618357,1134.4699999999998,1134.6815508821708
2012-12-03,0.11465093437974326,2757181512183.0894,57884490000.0,11.826737222585013,11.6,-215972242.3150604,30824143.479265224,111870202.3343608,4500000.0,-301518301.170156,356.76091989890307,1294.7940084995462,1134.4499999999998,1134.676737222585
2012-12-04,0.10801339669217626,2756765749694.7427,57884490000.0,11.820099684897446,11.61,-310460805.91152287,9910832.888017535,110712515.32325064,4500000.0,-415762488.346756,114.70871398168444,1281.3948532783638,1134.4599999999998,1134.6700996848974
2012-12-05,0.11211344661248873,2757022568870.385,57884490000.0,11.824199734817759,11.61,169835874.14147717,203029124.4894061,111545822.98862623,4500000.0,256819175.64225703,2349.874126034793,1291.0396179239146,1134.4599999999998,1134.6741997348176
