date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s,level_obs_m_asl,level_sim_m_asl
2009-12-24,-0.7424097177689466,2703496895059.429,57884490000.0,10.969676570436324,11.1,700698958.2206764,352614702.2082926,98059273.61728731,4500000.0,950754386.8116817,4081.18868296635,1134.945296496381,1133.9499999999998,1133.8196765704363
2009-12-25,-0.7234876056257782,2704682139467.784,57884490000.0,10.988598682579493,11.12,888310557.3802086,400342329.5199017,98908478.54528613,4500000.0,1185244408.354824,4633.591776850714,1144.774057237108,1133.9699999999998,1133.8385986825795
2009-12-26,-0.7199873450612331,2704901389001.373,57884490000.0,10.992098943144038,11.15,202003869.24354604,120834016.59000339,99088352.24453408,4500000.0,219249533.58901536,1398.5418586805947,1146.8559287561814,1134.0,1133.842098943144
2009-12-27,-0.7053498691783033,2705818252103.727,57884490000.0,11.006736419026968,11.11,681161003.56359,339955080.0336148,99752981.24334691,4500000.0,916863102.353858,3934.665278166838,1154.548394020219,1133.9599999999998,1133.856736419027
2009-12-28,-0.7027429905439627,2705981541925.774,57884490000.0,11.009343297661308,11.15,127984824.01866002,139700217.13200575,99895219.10390623,4500000.0,163289822.04675955,1616.9006612500666,1156.1946655544702,1134.0,1133.8593432976613
2009-12-29,-0.6868003055115881,2706980160798.0083,57884490000.0,11.025285982693683,11.16,738207878.9452695,365530237.7604294,100619244.47132915,4500000.0,998618872.2343698,4230.674048153118,1164.5745887885319,1134.01,1133.8752859826936
2009-12-30,-0.688773608231747,2706856556942.511,57884490000.0,11.023312679973523,11.18,-84909741.52416416,66366760.94656198,100560874.91970393,4500000.0,-123603855.49730611,768.1338072518747,1163.899015274351,1134.03,1133.8733126799734
2009-12-31,-0.680943248808398,2707347035471.106,57884490000.0,11.031143039396873,11.18,338417693.541692,257491661.08430564,100930826.03128827,4500000.0,490478528.5947094,2980.2275588461303,1168.1808568436143,1134.03,1133.8811430393969
2010-01-01,-0.6634329014145312,2708443849673.442,57884490000.0,11.04865338679074,11.19,453057986.18656164,749982246.0066535,101726029.85707042,4500000.0,1096814202.3361447,8680.350069521453,1177.384604827204,1134.04,1133.8986533867906
2010-01-02,-0.6501366894149111,2709276698607.299,57884490000.0,11.06194959879036,11.18,377397110.26538193,562290020.3817465,102338196.79006657,4500000.0,832848933.8570619,6507.986347010955,1184.4698702554,1134.03,1133.9119495987902
2010-01-03,-0.654591388444752,2708997664899.22,57884490000.0,11.057494899760519,11.21,-219517708.6570863,47155110.17994674,102171109.60157922,4500000.0,-279033708.0787188,545.776738193828,1182.5359907590187,1134.06,1133.9074948997604
2010-01-04,-0.6442829920996421,2709643362854.8535,57884490000.0,11.067803296105629,11.23,225017220.10545903,527833124.6944174,102652389.16658275,4500000.0,645697955.6332937,6109.179683963164,1188.1063560947077,1134.08,1133.9178032961056
2010-01-05,-0.6499808963818521,2709286457180.755,57884490000.0,11.062105391823419,11.22,-256927728.38315922,6951406.889188158,102429352.60447904,4500000.0,-356905674.09845006,80.45609825449257,1185.5249144036927,1134.07,1133.9121053918234
2010-01-06,-0.6370909226955667,2710093860134.5005,57884490000.0,11.074995365509704,11.21,294811662.89998466,620115989.2393323,103024698.39357042,4500000.0,807402953.7457466,7177.2683939737535,1192.4154906663243,1134.06,1133.9249953655096
2010-01-07,-0.6436622695380021,2709682243712.326,57884490000.0,11.068424018667269,11.22,-306300933.622488,1948234.2213811611,102763722.77322842,4500000.0,-411616422.17433524,22.54900719191159,1189.3949395049585,1134.07,1133.918424018667
2010-01-08,-0.6207630653721081,2711116605452.074,57884490000.0,11.091323222833163,11.24,600983027.5327498,941680539.9226055,103801827.70738548,4500000.0,1434361739.7479696,10899.080323178305,1201.4100429095542,1134.09,1133.941323222833
2010-01-09,-0.6251697893687874,2710840576807.0317,57884490000.0,11.086916498836484,11.25,-237560558.41876638,69667444.53595166,103635531.1596431,4500000.0,-276028645.0424578,806.3361636105516,1199.485314347721,1134.1,1133.9369164988364
2010-01-10,-0.6269603055725285,2710728422344.438,57884490000.0,11.085125982632743,11.26,-172303074.80261487,168233032.887461,103584420.67836078,4500000.0,-112154462.59351464,1947.1415843456134,1198.8937578513978,1134.11,1133.9351259826326
2010-01-11,-0.6142677410692532,2711523459969.8022,57884490000.0,11.097818547136017,11.25,286224450.30128205,617486143.2503815,104172968.18738253,4500000.0,795037625.3642809,7146.830361694229,1205.7056503169274,1134.1,1133.947818547136
2010-01-12,-0.6204779628875149,2711134463718.8003,57884490000.0,11.091608325317756,11.22,-307342137.25365686,26772641.755631365,103926755.50385803,4500000.0,-388996251.0018835,309.868538838326,1202.8559664798383,1134.07,1133.9416083253177
2010-01-13,-0.6270019900735327,2710725811308.1353,57884490000.0,11.085084298131738,11.23,-316144283.2990961,15659369.262965053,103667496.62903939,4500000.0,-408652410.66517043,181.24269980283626,1199.8552850583262,1134.08,1133.9350842981316
2010-01-14,-0.6287011286667632,2710619380561.8525,57884490000.0,11.083385159538507,11.2,-131686187.8791474,133376410.235866,103620968.63930695,4500000.0,-106430746.28258835,1543.7084518040047,1199.3167666586453,1134.05,1133.9333851595384
2010-01-15,-0.6346472162010517,2710246929170.154,57884490000.0,11.07743907200422,11.21,-302212851.9354462,37649229.7152803,103387769.4784912,4500000.0,-372451391.6986571,435.75497355648497,1196.6177022973518,1134.06,1133.927439072004
2010-01-16,-0.6407518302163688,2709864547987.1196,57884490000.0,11.071334457988902,11.25,-318168042.7486642,43434185.36705526,103147325.6523995,4500000.0,-382381183.03400844,502.71047878536183,1193.8347876435128,1134.1,1133.921334457989
2010-01-17,-0.6488876755446216,2709354934413.879,57884490000.0,11.06319861266065,11.23,-402297205.5,0.0,102816367.74054644,4500000.0,-509613573.24054646,0.0,1190.0042562563244,1134.08,1133.9131986126606
2010-01-18,-0.6564134092466697,2708883537049.6953,57884490000.0,11.055672878958601,11.23,-378979294.3520312,14594826.959577225,102512896.79138169,4500000.0,-471397364.1838356,168.9216083284401,1186.491861011362,1134.08,1133.9056728789585
2010-01-19,-0.6644096182259354,2708382670026.5557,57884490000.0,11.047676669979335,11.24,-399836375.3164093,5658178.45000575,102188826.27308786,4500000.0,-500867023.1394914,65.48817650469618,1182.7410448274059,1134.09,1133.8976766699793
2010-01-20,-0.6628747564391979,2708478810792.267,57884490000.0,11.049211531766073,11.25,-86656788.68427756,289580926.11908257,102283371.72352877,4500000.0,96140765.71127623,3351.6310893412333,1183.8353208741755,1134.1,1133.899211531766
2010-01-21,-0.665122629965442,2708338008353.961,57884490000.0,11.046963658239829,11.23,-174744901.85544556,140653890.05578583,102211426.50640447,4500000.0,-140802438.3060642,1627.938542312336,1183.0026216019037,1134.08,1133.8969636582397
2010-01-22,-0.6567208258086241,2708864281072.438,57884490000.0,11.055365462396647,11.22,164053942.35620627,469327120.5023359,102608344.38136569,4500000.0,526272718.47717655,5432.026857665925,1187.5965784880289,1134.07,1133.9053654623965
2010-01-23,-0.655190218547645,2708960155342.9067,57884490000.0,11.056896069657626,11.21,-55825573.65293197,258903495.98296043,102703651.86143418,4500000.0,95874270.4685943,2996.5682405435236,1188.6996743221548,1134.06,1133.9068960696575
