candidate_index,days_above_high_threshold,days_below_low_threshold,min_level_m,max_level_m,mean_level_m,mean_outflow_m3s,std_outflow_m3s,mean_abs_ramp_m3s_day,monthly_q_min_m3s,monthly_q_max_m3s,wet_minus_dry_mean_m3s,seasonal_spread_gap_m3s,natural_band_penalty_m3s,realized_monthly_target_rmse_m3s,realized_high_violation_m,realized_low_violation_m,realized_is_band_feasible,realized_is_guardrail_feasible,emergency_high_release_days,emergency_low_release_days,high_water_buffer_m,low_water_buffer_m,dry_protective_q_min_m3s,excess_low_days_vs_observed,selection_score
48,254,92,11.000223591365444,12.311431276897073,11.628358390585106,1070.9740598026174,196.01388992922236,3.554826669337226,929.1267301233589,1212.1241975928615,254.34994035981447,169.2442375431974,75.12166506236406,91.52401317285201,0.1614312768970727,0.14977640863455655,False,True,1776,1583,0.06391765751869329,0.7307641785938074,678.3202988919421,0,0.4338659721309799
49,255,98,11.002886860821606,12.312099469777944,11.626456354118439,1070.9087910286355,196.5216997165377,3.8215183089861244,930.4820930697686,1214.2153188919308,252.26855983425128,167.16285701763422,77.94854471409303,90.85882196089622,0.1620994697779441,0.1471131391783942,False,True,1747,1598,0.0886624799030425,0.7146169799930274,692.9309430780373,0,0.44122275128137256
50,280,123,11.003603688878123,12.332624133650237,11.61015469467629,1068.9039512804736,183.7912176534201,3.641826095381479,942.5602748361778,1202.6890545949884,229.90605968635487,144.8003568697378,42.81783435379907,80.53073018741493,0.18262413365023633,0.1463963111218778,False,True,1729,1282,0.10946268109317848,0.6023700681071168,683.9654104676639,0,0.44072071635371934
51,277,128,11.000627230630053,12.328123180917142,11.608013225389985,1069.343602277941,183.3182363284062,3.6941560471789154,943.661234209451,1200.7018380374982,229.23157712021543,144.12587430359838,37.7424418655454,80.10281353725354,0.17812318091714197,0.14937276936994692,False,True,1709,1251,0.056902190290591646,0.5982232481574437,678.2517893329427,0,0.4343268252277196
52,269,114,11.000116386148795,12.324376026622438,11.615498212677146,1069.7096225898526,187.1458354510163,3.55223652227001,937.9635180626162,1203.8325174451063,238.40093481940528,153.29523200278823,49.70151682759638,84.13346705336788,0.17437602662243812,0.1498836138512054,False,True,1752,1344,0.10381756354413404,0.6440538807605116,678.168627958807,0,0.4328815726752888
53,283,142,11.000051632594538,12.33343656144442,11.598384046675392,1068.824593706349,179.59392381273256,3.720369029559176,947.7302555161215,1201.3459030411072,222.07129608224534,136.96559326562829,34.961550566093024,77.3056800188863,0.18343656144442022,0.1499483674054627,False,True,1646,1099,0.06120514297678652,0.5573757901992643,678.2613199310842,0,0.43529673308213584
54,254,83,11.002615882557759,12.313659723689245,11.63141887372624,1070.7563861425751,194.52008271332457,3.6267545535278947,927.2628701170842,1210.7641271524299,256.7078554308788,171.60215261426174,74.26538418777557,92.2433591241945,0.16365972368924453,0.14738411744224145,False,True,1824,1553,0.08619289100738356,0.7505829655339349,651.4919042141491,0,0.43802326657439455
55,280,140,11.000629812882313,12.327692311092875,11.601839481978843,1069.3856894446196,184.50003213899936,3.768655701971514,946.7279504878022,1207.2783578247474,224.5226278104584,139.41692499384135,47.82876516169267,78.9846934312794,0.17769231109287453,0.1493701871176878,False,True,1576,1162,0.05669162627093571,0.5685856386108092,688.7521882085659,0,0.435603688158091
56,257,97,11.003094160378229,12.312763087015211,11.626407339200382,1070.8439692014676,196.40209306248292,3.841776263575085,930.2999391359106,1214.4698468382496,252.4462142174217,167.34051140080464,78.63975454058868,90.95473649956328,0.16276308701521103,0.1469058396217715,False,True,1749,1601,0.10698437066272869,0.7146169799930274,692.9309430780373,0,0.44441333642995867
57,274,117,11.000363361554239,12.327020628977277,11.614204500446357,1069.4512990454152,185.64235390547762,3.5065194907688757,939.6046581188846,1201.6483143560333,235.5031487705428,150.39744595392574,43.69197059318208,82.72798098671629,0.17702062897727622,0.14963663844576125,False,True,1732,1314,0.08680164848515061,0.6320470726792091,675.9752880073052,0,0.43242518355318826
58,301,149,11.003526307367475,12.344876155237056,11.593356732224999,1067.7071794343947,173.579742411575,3.556570169383161,951.9952175134663,1194.565400310333,210.9769116212974,125.87120880468035,28.004782486533713,72.18619151624259,0.19487615523705593,0.14647369263252585,False,True,1600,857,0.05273820749944414,0.5113181921220102,676.8738162170724,0,0.439694331452871
59,255,93,11.00057462562973,12.314121424207723,11.627159614585482,1070.7112874477998,194.4863564859804,3.5458073766834577,930.0533419848148,1210.3944821684288,252.23301278583813,167.12730996922107,70.73562235204281,90.4568201347823,0.1641214242077229,0.1494253743702707,False,True,1780,1537,0.11269151875949088,0.7186896198045721,675.1408328101046,0,0.4325315222775335
60,241,83,11.001894989122764,12.304218695816147,11.635914856954123,1071.6785814126927,201.6945800058941,3.6818348955865754,924.9105664549988,1217.8683878603329,263.60020121700575,178.4944984003887,90.82620926566688,95.87560398726545,0.15421869581614622,0.14810501087723615,False,True,1780,1723,0.09538057034396759,0.7728197776646143,683.7349854174096,0,0.4335325746039058
61,280,125,11.002943951446236,12.3317223098128,11.608411637572082,1068.9920410190316,183.26474272782414,3.681339368152739,943.6929811386447,1202.1662429367166,228.42998705092077,143.32428423430372,40.63950473478849,79.88575235850563,0.18172230981280002,0.14705604855376464,False,True,1708,1259,0.08848294644062764,0.5946711694426638,683.5100088730204,0,0.438901885863299
62,246,87,11.00168852893546,12.306883047023035,11.63264009711687,1071.4183288094775,199.8910355040066,3.7061522283392563,926.943979933526,1216.118623125858,259.4102986913475,174.30459587473047,85.29326631819004,93.97858428055231,0.1568830470230349,0.1483114710645399,False,True,1776,1688,0.1071269793796501,0.7515741009119944,687.9439494344897,0,0.4356630131104501
63,254,94,11.002882969380506,12.311221649545828,11.62826207103507,1070.994536106083,197.31861571820937,3.783947110969844,929.5863754698286,1214.5399605830896,253.98004251451414,168.87433969789708,79.49354569635068,91.59183858978696,0.16122164954582807,0.14711703061949422,False,True,1754,1622,0.10556060131622885,0.7238528558345743,692.4065946152682,0,0.44070227793944083
64,258,106,11.00020300893435,12.31349343220333,11.620269839243635,1070.772629418607,193.9674838342687,3.8550546237965935,933.4204695230774,1213.560328195488,247.11210005156533,162.00639723494828,73.70018686789854,88.65302234303716,0.1634934322033299,0.14979699106565114,False,True,1739,1491,0.10700462647779667,0.6828012227560561,692.6691640072199,0,0.4412398639783657
65,295,141,11.00251669758843,12.340127069562335,11.597898788315804,1068.1710679437194,177.3322953476899,3.5708017607388256,949.6263649324218,1198.5187624631806,216.9666503797049,131.86094756308785,30.37363506757822,74.99225875115566,0.19012706956233494,0.1474833024115707,False,True,1658,1036,0.09173263770473415,0.5377337827995247,683.9506555840476,0,0.4406242326577563
66,241,83,11.002031624420399,12.304504133591207,11.635837298030413,1071.6506999817766,201.56295293060592,3.6570707054232843,925.1709596480048,1217.6806529759324,263.1049078501886,177.99920503357157,90.19034630386,95.65850313547357,0.15450413359120674,0.14796837557960174,False,True,1777,1721,0.0752291602510192,0.7728197776646143,684.4008828680903,0,0.43232507717145874
67,257,97,11.000004313125903,12.31509125246564,11.625460247321135,1070.616555068653,193.5799371745671,3.503157815748171,930.9137846360185,1209.6919876951465,250.69664160733316,165.5909387907161,68.47019075427454,89.77402788494831,0.16509125246563983,0.1499956868740977,False,True,1777,1510,0.08408770126171657,0.7115992282038527,675.4192974003143,0,0.43186751093840603
68,301,163,11.000428332018046,12.345583013243896,11.587326446743472,1067.6381338686667,171.04910959581278,3.3794672382236235,955.4776381194094,1193.0196327195154,204.40508468122027,119.29938186460322,24.52236188059055,69.59812730887957,0.19558301324389582,0.1495716679819541,False,True,1550,602,0.05426878913755738,0.46637184060919296,676.6590295472662,0,0.42718989900101617
69,290,129,11.004764993315511,12.338033338958533,11.60658408234466,1068.375582588263,181.01744772625773,3.616371710709198,944.7692657729617,1200.832839608628,225.6916699710215,140.58596715440444,36.89641344429447,78.63126570745845,0.18803333895853314,0.14523500668448897,False,True,1706,1217,0.10835517916544209,0.5833790376105891,683.550950874487,0,0.44559634083166
70,275,128,11.00009714494285,12.32718662041152,11.608225102655208,1069.4350850783053,183.79591237618413,3.7160211092448456,942.522342513271,1201.821619309101,231.1327622155851,146.02705939896805,41.12089610493081,80.98224042890688,0.17718662041152022,0.1499028550571495,False,True,1712,1283,0.05852537298271525,0.6056012191546816,678.2979924858538,0,0.43553767185688175
